Word,Count
the,65991
a,54944
be,36139
form,31290
in,30251
to,23204
{@link,21000
*,19860
,19799
or,19688
<p>This,18018
value,18018
<p>Must,15078
(in,15036
theme,14784
attribute,14767
reference,14763
is,14304
resource,11983
can,11727
of,10880
found,10521
where,10502
name,10501
offset,10500
attribute's,10500
<tr><td><code>{@link,10500
@see,10500
array,10500
symbol,10500
@attr,10500
\value,\,8274
this,7558
may,7549
type,7523
\"\<code>@[<i>package</i>:]<i>type</i>:<i>name</i></code>"\)\,7518
also,7518
containing,7518
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\)\,7518
\"\<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>"\\,7245
\resource,\,7245
another,7245
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\\,7245
/>,6365
<colgroup,6363
\align="\left"\\,6363
as,4973
with,4961
such,4960
aapt,4463
value:,4442
point,3825
floating,3822
which,3741
appended,3738
number,3738
on,3487
pixels,3486
dp,3486
px,3486
(millimeters),3486
(scaled,3486
(density-independent,3486
based,3486
Available,3486
dimension,3486
mm,3486
units,3486
unit,3486
preferred,3486
font,3486
\"\<code>14.5sp</code>"\\,3486
\(inches),\,3486
are:,3486
\size),\,3486
\pixels),\,3486
sp,3486
\(pixels),\,3486
following,2527
</table>,2520
<table>,2520
#AppCompatTheme},2499
either,1808
color,1764
\"\<code>#<i>aarrggbb</i></code>"\\,1764
<p>May,1764
\"\<code>#<i>argb</i></code>"\,\,1764
\"\<code>#<i>rgb</i></code>"\,\,1764
\"\<code>#<i>rrggbb</i></code>"\,\,1764
boolean,1554
\"\<code>false</code>"\\,1554
\"\<code>true</code>"\\,1554
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,1323
values.</p>,1323
one,1323
constant,1323
that,1223
used,1220
Attributes,1218
<tr><th>Attribute</th><th>Description</th></tr>,1197
<p>Includes,1197
attributes:</p>,1197
for,892
using,889
character,882
'\\uxxxx',882
escape,882
string,882
characters,882
unicode,882
'\\;',882
'\\n',882
#Toolbar},609
#ActionBar},609
by,546
%,504
suffix,504
#MenuItem},483
more,463
(separated,462
'|'),462
<tr><td><code>src_in</code></td><td>5</td><td></td></tr>,357
<tr><td><code>screen</code></td><td>15</td><td></td></tr>,357
#SearchView},357
<tr><td><code>multiply</code></td><td>14</td><td></td></tr>,357
