Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,376,286132,78726,66848,1335,9351,9,198055,946842,344,1397
D:\_Schule\Cocktailmaschine\Programme\SmartButler,376,286132,78726,66848,1335,9351,9,198055,946842,344,1397
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler,376,286132,78726,66848,1335,9351,9,198055,946842,344,1397
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler,74,2485,1700,927,37,503,1,282,1126,198,660
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android,280,282199,75994,65330,1201,8652,0,197553,944577,128,676
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\Properties,1,35,17,4,0,4,0,14,78,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\Resources,1,9553,4956,4411,0,2349,0,2248,8986,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\Services,2,241,185,111,33,53,0,3,11,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj,275,272330,70802,60777,1168,6240,0,195288,935502,128,676
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug,264,155095,45429,37045,1168,6199,0,103467,494600,67,354
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81,264,155095,45429,37045,1168,6199,0,103467,494600,67,354
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android,262,145693,40553,32715,1168,3886,0,101254,485756,66,352
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\com,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\com\companyname,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\com\companyname\smartbutler,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src,261,133970,38016,30342,1168,3882,0,92072,441666,60,320
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android,15,105816,23072,21478,19,100,0,82644,396828,54,288
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support,15,105816,23072,21478,19,100,0,82644,396828,54,288
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\compat,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\customtabs,1,57,43,22,3,13,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\design,2,11772,2575,2392,3,14,0,9183,44093,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\design\widget,1,49,38,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\mediacompat,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\transition,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\v4,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\v7,8,47095,10306,9572,13,57,0,36732,176372,24,128
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\v7\app,3,147,114,57,9,30,0,3,9,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\v7\appcompat,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\v7\cardview,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\v7\mediarouter,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\v7\recyclerview,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\android\support\v7\widget,1,56,44,23,4,11,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\com,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\com\companyname,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\com\companyname\smartbutler,1,11723,2537,2373,0,4,0,9182,44090,6,32
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md51558244f76c53b6aeda52c8a337f2c37,149,10616,7978,4229,784,2489,0,149,447,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md5423e3a95c357eb7d6aad61b4f54abbd4,1,48,37,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md58432a647068b097f9637064b8985a5e0,19,1515,1129,598,98,367,0,19,57,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md599af1e58564000efce60f1127ec13d70,15,831,630,321,50,186,0,15,45,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md5dcb6eccdc824e0677ffae8ccdde42930,2,105,80,41,7,23,0,2,6,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md5f31efab71971fc6ca3025f90e0a0f3b1,1,48,37,19,3,10,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\md5f92e0daf340890c9667469657ee2ece8,4,357,266,143,27,87,0,4,12,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono,54,2911,2250,1121,177,606,0,55,175,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android,52,2675,2047,1028,163,578,0,50,155,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\app,2,20,13,7,0,6,0,1,8,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support,49,2635,2018,1009,163,568,0,49,147,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\design,6,321,246,123,20,69,0,6,18,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\design\widget,6,321,246,123,20,69,0,6,18,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\transition,1,85,62,31,3,22,0,1,3,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4,21,1119,858,429,66,240,0,21,63,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\app,2,98,76,38,6,20,0,2,6,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\content,2,98,76,38,6,20,0,2,6,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler.Android\obj\Debug\81\android\src\mono\android\support\v4\media,1,49,38,19,3,10,0,1,3,0,0
