File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\App.xaml.cs,47,32,17,0,10,0,5,32,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\App.xaml,8,7,0,0,1,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\App.xaml.cs,47,32,17,0,10,0,5,32,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Bootstrapper\Bootstrapper.cs,64,46,34,2,14,0,4,22,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Bootstrapper\Modules\PageModule.cs,58,46,35,0,11,0,1,4,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Bootstrapper\Modules\ServiceModule.cs,30,20,14,0,7,0,3,8,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Controls\ToolBarControl.xaml.cs,33,30,19,0,3,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Controls\ToolBarControl.xaml,9,8,0,0,1,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Controls\ToolBarControl.xaml.cs,33,30,19,0,3,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Core\BluetoothData.cs,24,20,12,0,4,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Core\BluetoothDevice.cs,24,19,11,0,5,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Core\Settings.cs,12,10,6,0,2,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Interfaces\IBluetoothService.cs,43,33,23,0,10,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Interfaces\IRepository.cs,11,9,5,0,2,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Models\Bottle.cs,14,11,7,0,3,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Models\Drink.cs,14,11,7,0,3,0,0,0,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\Models\LiquidContainer.cs,17,12,8,0,2,0,3,16,0,0
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug\netstandard2.0\App.xaml.g.cs,25,10,4,0,6,0,9,30,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug\netstandard2.0\LocMetrics.css.g.cs,13,1,0,0,3,0,9,30,9,30
D:\_Schule\Cocktailmaschine\Programme\SmartButler\SmartButler\SmartButler\obj\Debug\netstandard2.0\SmartButler.AssemblyInfo.cs,24,9,2,0,5,0,10,36,9,30
